state,updated,cases,deaths,recovered,casesPerOneMillion,deathsPerOneMillion,population,extraction_date,data_source,data_type
California,1760635516153,12711918,112443,0,321721,2846,39512223,2025-10-16 22:57:40.586194,disease.sh,states
Texas,1760635516154,9190299,104793,0,316952,3614,28995881,2025-10-16 22:57:40.586194,disease.sh,states
Florida,1760635516154,8048191,95206,0,374722,4433,21477737,2025-10-16 22:57:40.586194,disease.sh,states
New York,1760635516154,7587861,83374,0,390050,4286,19453561,2025-10-16 22:57:40.586194,disease.sh,states
Illinois,1760635516154,4136659,42005,0,326446,3315,12671821,2025-10-16 22:57:40.586194,disease.sh,states
Ohio,1760635516154,3741277,43896,3684603,320065,3755,11689100,2025-10-16 22:57:40.586194,disease.sh,states
Pennsylvania,1760635516154,3565499,51480,0,278511,4021,12801989,2025-10-16 22:57:40.586194,disease.sh,states
North Carolina,1760635516154,3501404,29059,0,333846,2771,10488084,2025-10-16 22:57:40.586194,disease.sh,states
Michigan,1760635516154,3306221,44762,0,331057,4482,9986857,2025-10-16 22:57:40.586194,disease.sh,states
New Jersey,1760635516154,3295020,36873,0,370969,4151,8882190,2025-10-16 22:57:40.586194,disease.sh,states
Georgia,1760635516154,3287483,44069,0,309631,4151,10617423,2025-10-16 22:57:40.586194,disease.sh,states
Tennessee,1760635516154,2729641,30729,0,399703,4500,6829174,2025-10-16 22:57:40.586194,disease.sh,states
Arizona,1760635516154,2607545,34402,0,358242,4726,7278717,2025-10-16 22:57:40.586194,disease.sh,states
Massachusetts,1760635516154,2367542,25586,0,343495,3712,6892503,2025-10-16 22:57:40.586194,disease.sh,states
Virginia,1760635516154,2315784,23748,0,271311,2782,8535519,2025-10-16 22:57:40.586194,disease.sh,states
Indiana,1760635516154,2208419,28018,0,328037,4162,6732219,2025-10-16 22:57:40.586194,disease.sh,states
Washington,1760635516154,2070848,17339,0,271947,2277,7614893,2025-10-16 22:57:40.586194,disease.sh,states
Wisconsin,1760635516154,2043838,16758,0,351028,2878,5822434,2025-10-16 22:57:40.586194,disease.sh,states
Minnesota,1760635516154,1900794,16458,0,337042,2918,5639632,2025-10-16 22:57:40.586194,disease.sh,states
Colorado,1760635516154,1874746,15552,0,325548,2701,5758736,2025-10-16 22:57:40.586194,disease.sh,states
South Carolina,1760635516154,1857853,20311,0,360838,3945,5148714,2025-10-16 22:57:40.586194,disease.sh,states
Kentucky,1760635516154,1808735,19183,0,404849,4294,4467673,2025-10-16 22:57:40.586194,disease.sh,states
Missouri,1760635516154,1780715,22778,0,290140,3711,6137428,2025-10-16 22:57:40.586194,disease.sh,states
Louisiana,1760635516154,1684058,19270,0,362257,4145,4648794,2025-10-16 22:57:40.586194,disease.sh,states
Alabama,1760635516154,1659936,21138,0,338542,4311,4903185,2025-10-16 22:57:40.586194,disease.sh,states
